Period,EMR Capital Expenditures (Quarterly),EMR Gross Profit Margin (Quarterly),EMR Operating Margin (TTM),EMR Price,EMR Revenue (Quarterly)
2016-02-19 00:00:00,,,,48.05,
2016-02-18 00:00:00,,,,48.34,
2016-02-17 00:00:00,,,,47.76,
2016-02-16 00:00:00,,,,46.62,
2016-02-12 00:00:00,,,,46.02,
2016-02-11 00:00:00,,,,45.43,
2016-02-10 00:00:00,,,,45.77,
2016-02-09 00:00:00,,,,46.91,
2016-02-08 00:00:00,,,,47.06,
2016-02-05 00:00:00,,,,46.91,
2016-02-04 00:00:00,,,,46.87,
2016-02-03 00:00:00,,,,46.09,
2016-02-02 00:00:00,,,,45.84,
2016-02-01 00:00:00,,,,45.5,
2016-01-29 00:00:00,,,,45.98,
2016-01-28 00:00:00,,,,44.6,
2016-01-27 00:00:00,,,,43.38,
2016-01-26 00:00:00,,,,43.1,
2016-01-25 00:00:00,,,,42.29,
2016-01-22 00:00:00,,,,43.17,
2016-01-21 00:00:00,,,,42.94,
2016-01-20 00:00:00,,,,42.64,
2016-01-19 00:00:00,,,,43.14,
2016-01-15 00:00:00,,,,43.09,
2016-01-14 00:00:00,,,,43.83,
2016-01-13 00:00:00,,,,43.26,
2016-01-12 00:00:00,,,,44.22,
2016-01-11 00:00:00,,,,43.8,
2016-01-08 00:00:00,,,,44.1,
2016-01-07 00:00:00,,,,44.61,
2016-01-06 00:00:00,,,,46.45,
2016-01-05 00:00:00,,,,46.99,
2016-01-04 00:00:00,,,,47.3,
2015-12-31 00:00:00,145.0,40.0806,17.4895,47.83,4713.0
2015-12-30 00:00:00,,,,48.53,
2015-12-29 00:00:00,,,,48.49,
2015-12-28 00:00:00,,,,48.26,
2015-12-24 00:00:00,,,,48.26,
2015-12-23 00:00:00,,,,48.33,
2015-12-22 00:00:00,,,,46.85,
2015-12-21 00:00:00,,,,45.88,
2015-12-18 00:00:00,,,,44.59,
2015-12-17 00:00:00,,,,45.0,
2015-12-16 00:00:00,,,,46.1,
2015-12-15 00:00:00,,,,45.22,
2015-12-14 00:00:00,,,,44.99,
2015-12-11 00:00:00,,,,45.48,
2015-12-10 00:00:00,,,,46.97,
2015-12-09 00:00:00,,,,47.14,
2015-12-08 00:00:00,,,,47.28,
2015-12-07 00:00:00,,,,48.51,
2015-12-04 00:00:00,,,,49.17,
2015-12-03 00:00:00,,,,48.58,
2015-12-02 00:00:00,,,,48.91,
2015-12-01 00:00:00,,,,49.62,
2015-11-30 00:00:00,,,,50.0,
2015-11-27 00:00:00,,,,50.29,
2015-11-25 00:00:00,,,,50.24,
2015-11-24 00:00:00,,,,50.07,
2015-11-23 00:00:00,,,,50.02,
2015-11-20 00:00:00,,,,50.16,
2015-11-19 00:00:00,,,,50.14,
2015-11-18 00:00:00,,,,50.01,
2015-11-17 00:00:00,,,,48.68,
2015-11-16 00:00:00,,,,48.85,
2015-11-13 00:00:00,,,,47.69,
2015-11-12 00:00:00,,,,47.25,
2015-11-11 00:00:00,,,,47.97,
2015-11-10 00:00:00,,,,47.79,
2015-11-09 00:00:00,,,,48.32,
2015-11-06 00:00:00,,,,49.23,
2015-11-05 00:00:00,,,,49.15,
2015-11-04 00:00:00,,,,49.68,
2015-11-03 00:00:00,,,,49.64,
2015-11-02 00:00:00,,,,48.35,
2015-10-30 00:00:00,,,,47.23,
2015-10-29 00:00:00,,,,47.18,
2015-10-28 00:00:00,,,,47.41,
2015-10-27 00:00:00,,,,46.89,
2015-10-26 00:00:00,,,,48.01,
2015-10-23 00:00:00,,,,48.18,
2015-10-22 00:00:00,,,,47.78,
2015-10-21 00:00:00,,,,46.29,
2015-10-20 00:00:00,,,,46.12,
2015-10-19 00:00:00,,,,45.48,
2015-10-16 00:00:00,,,,45.27,
2015-10-15 00:00:00,,,,46.82,
2015-10-14 00:00:00,,,,46.27,
2015-10-13 00:00:00,,,,46.49,
2015-10-12 00:00:00,,,,46.95,
2015-10-09 00:00:00,,,,47.15,
2015-10-08 00:00:00,,,,47.52,
2015-10-07 00:00:00,,,,46.35,
2015-10-06 00:00:00,,,,46.2,
2015-10-05 00:00:00,,,,46.02,
2015-10-02 00:00:00,,,,44.19,
2015-10-01 00:00:00,,,,42.78,
2015-09-30 00:00:00,169.0,40.7293,17.7367,44.17,5814.0
2015-09-29 00:00:00,,,,43.46,
2015-09-28 00:00:00,,,,43.04,
2015-09-25 00:00:00,,,,43.78,
2015-09-24 00:00:00,,,,43.66,
2015-09-23 00:00:00,,,,43.67,
2015-09-22 00:00:00,,,,44.65,
2015-09-21 00:00:00,,,,45.12,
2015-09-18 00:00:00,,,,45.11,
2015-09-17 00:00:00,,,,46.85,
2015-09-16 00:00:00,,,,47.06,
2015-09-15 00:00:00,,,,46.32,
2015-09-14 00:00:00,,,,45.52,
2015-09-11 00:00:00,,,,46.04,
2015-09-10 00:00:00,,,,46.37,
2015-09-09 00:00:00,,,,46.52,
2015-09-08 00:00:00,,,,46.85,
2015-09-04 00:00:00,,,,45.82,
2015-09-03 00:00:00,,,,46.43,
2015-09-02 00:00:00,,,,46.79,
2015-09-01 00:00:00,,,,46.27,
2015-08-31 00:00:00,,,,47.72,
2015-08-28 00:00:00,,,,48.05,
2015-08-27 00:00:00,,,,47.64,
2015-08-26 00:00:00,,,,46.41,
2015-08-25 00:00:00,,,,45.16,
2015-08-24 00:00:00,,,,46.36,
2015-08-21 00:00:00,,,,47.96,
2015-08-20 00:00:00,,,,49.07,
2015-08-19 00:00:00,,,,49.73,
2015-08-18 00:00:00,,,,50.11,
2015-08-17 00:00:00,,,,50.34,
2015-08-14 00:00:00,,,,49.6,
2015-08-13 00:00:00,,,,49.41,
2015-08-12 00:00:00,,,,49.08,
2015-08-11 00:00:00,,,,48.93,
2015-08-10 00:00:00,,,,50.02,
2015-08-07 00:00:00,,,,49.19,
2015-08-06 00:00:00,,,,49.74,
2015-08-05 00:00:00,,,,49.91,
2015-08-04 00:00:00,,,,49.64,
2015-08-03 00:00:00,,,,51.33,
2015-07-31 00:00:00,,,,51.75,
2015-07-30 00:00:00,,,,51.98,
2015-07-29 00:00:00,,,,52.21,
2015-07-28 00:00:00,,,,51.8,
2015-07-27 00:00:00,,,,50.46,
2015-07-24 00:00:00,,,,50.68,
2015-07-23 00:00:00,,,,51.52,
2015-07-22 00:00:00,,,,51.76,
2015-07-21 00:00:00,,,,52.14,
2015-07-20 00:00:00,,,,52.74,
2015-07-17 00:00:00,,,,52.59,
2015-07-16 00:00:00,,,,53.37,
2015-07-15 00:00:00,,,,53.48,
2015-07-14 00:00:00,,,,54.2,
2015-07-13 00:00:00,,,,54.3,
2015-07-10 00:00:00,,,,53.83,
2015-07-09 00:00:00,,,,53.76,
2015-07-08 00:00:00,,,,53.98,
2015-07-07 00:00:00,,,,55.05,
2015-07-06 00:00:00,,,,55.26,
2015-07-02 00:00:00,,,,55.86,
2015-07-01 00:00:00,,,,55.45,
2015-06-30 00:00:00,157.0,40.596,18.0925,55.43,5503.0
2015-06-29 00:00:00,,,,55.56,
2015-06-26 00:00:00,,,,56.58,
2015-06-25 00:00:00,,,,56.62,
2015-06-24 00:00:00,,,,57.49,
2015-06-23 00:00:00,,,,57.88,
2015-06-22 00:00:00,,,,58.26,
2015-06-19 00:00:00,,,,58.11,
2015-06-18 00:00:00,,,,58.75,
2015-06-17 00:00:00,,,,58.35,
2015-06-16 00:00:00,,,,58.61,
2015-06-15 00:00:00,,,,58.7,
2015-06-12 00:00:00,,,,59.63,
2015-06-11 00:00:00,,,,60.14,
2015-06-10 00:00:00,,,,59.77,
2015-06-09 00:00:00,,,,59.18,
2015-06-08 00:00:00,,,,59.12,
2015-06-05 00:00:00,,,,59.21,
2015-06-04 00:00:00,,,,58.92,
2015-06-03 00:00:00,,,,60.34,
2015-06-02 00:00:00,,,,60.3,
2015-06-01 00:00:00,,,,60.24,
2015-05-29 00:00:00,,,,60.31,
2015-05-28 00:00:00,,,,61.02,
2015-05-27 00:00:00,,,,60.95,
2015-05-26 00:00:00,,,,60.83,
2015-05-22 00:00:00,,,,61.78,
2015-05-21 00:00:00,,,,61.72,
2015-05-20 00:00:00,,,,60.13,
2015-05-19 00:00:00,,,,59.9,
2015-05-18 00:00:00,,,,60.2,
2015-05-15 00:00:00,,,,60.19,
2015-05-14 00:00:00,,,,60.53,
2015-05-13 00:00:00,,,,60.34,
2015-05-12 00:00:00,,,,60.18,
2015-05-11 00:00:00,,,,59.3,
2015-05-08 00:00:00,,,,58.79,
2015-05-07 00:00:00,,,,58.1,
2015-05-06 00:00:00,,,,58.22,
2015-05-05 00:00:00,,,,58.4,
2015-05-04 00:00:00,,,,59.49,
2015-05-01 00:00:00,,,,59.33,
2015-04-30 00:00:00,,,,58.83,
2015-04-29 00:00:00,,,,59.09,
2015-04-28 00:00:00,,,,58.66,
2015-04-27 00:00:00,,,,58.46,
2015-04-24 00:00:00,,,,57.65,
2015-04-23 00:00:00,,,,58.21,
2015-04-22 00:00:00,,,,58.15,
2015-04-21 00:00:00,,,,58.22,
2015-04-20 00:00:00,,,,58.7,
2015-04-17 00:00:00,,,,58.43,
2015-04-16 00:00:00,,,,58.91,
2015-04-15 00:00:00,,,,59.16,
2015-04-14 00:00:00,,,,58.33,
2015-04-13 00:00:00,,,,58.4,
2015-04-10 00:00:00,,,,56.85,
2015-04-09 00:00:00,,,,56.72,
2015-04-08 00:00:00,,,,56.74,
2015-04-07 00:00:00,,,,56.47,
2015-04-06 00:00:00,,,,56.99,
2015-04-02 00:00:00,,,,55.54,
2015-04-01 00:00:00,,,,55.89,
2015-03-31 00:00:00,152.0,40.1111,18.6551,56.62,5400.0
2015-03-30 00:00:00,,,,56.59,
2015-03-27 00:00:00,,,,56.54,
2015-03-26 00:00:00,,,,56.47,
2015-03-25 00:00:00,,,,56.6,
2015-03-24 00:00:00,,,,56.81,
2015-03-23 00:00:00,,,,56.93,
2015-03-20 00:00:00,,,,56.69,
2015-03-19 00:00:00,,,,56.27,
2015-03-18 00:00:00,,,,56.78,
2015-03-17 00:00:00,,,,55.69,
2015-03-16 00:00:00,,,,56.23,
2015-03-13 00:00:00,,,,55.26,
2015-03-12 00:00:00,,,,56.05,
2015-03-11 00:00:00,,,,55.51,
2015-03-10 00:00:00,,,,56.09,
2015-03-09 00:00:00,,,,57.1,
2015-03-06 00:00:00,,,,56.56,
2015-03-05 00:00:00,,,,58.08,
2015-03-04 00:00:00,,,,57.78,
2015-03-03 00:00:00,,,,58.38,
2015-03-02 00:00:00,,,,58.33,
2015-02-27 00:00:00,,,,57.92,
2015-02-26 00:00:00,,,,57.94,
2015-02-25 00:00:00,,,,58.3,
